Part Number,Condition,Low Price,Avg. Price,High Price,Total Quantity,Hits Day,HIts Week,Hits Month,Normalized_Quantity,Normalized_Searches,Market Attractiveness,Market Attractiveness Category
ASR1002X-36G-K9,REF,9000.0,10500.0,12000.0,5,8,97,630,0.00016000640025601025,0.36713286713286714,0.6834864303663055,Moderate Attractiveness
PWR-C1-350WAC-P,REF,429.0,429.0,429.0,3,32,162,620,8.000320012800511e-05,0.3613053613053613,0.6806126790526166,Moderate Attractiveness
AIR-AP1832I-E-K9C,REF,377.0,377.0,377.0,17,26,136,619,0.000640025601024041,0.36072261072261075,0.6800412925607934,Moderate Attractiveness
WS-C2960CX-8PC-L,REF,500.0,500.0,500.0,2,15,93,613,4.000160006400256e-05,0.3572261072261072,0.6785930528130216,Moderate Attractiveness
ASR1002X-10G-SECK9,REF,9500.0,9500.0,9500.0,2,10,107,610,4.000160006400256e-05,0.3554778554778555,0.6777189269388957,Moderate Attractiveness
ISR4431-SEC-K9,REF,2671.8,3210.9,3750.0,2,43,160,607,4.000160006400256e-05,0.3537296037296037,0.6768448010647699,Moderate Attractiveness
ASR1002X-5G-SECK9,REF,8000.0,8000.0,8000.0,2,9,99,607,4.000160006400256e-05,0.3537296037296037,0.6768448010647699,Moderate Attractiveness
SFP-10G-LR,REF,52.44,98.36,175.0,560,33,119,606,0.02236089443577743,0.3531468531468531,0.6653929793555379,Moderate Attractiveness
PWR-C1-1100WAC-P,REF,495.0,495.0,495.0,1,12,119,605,0.0,0.3525641025641026,0.6762820512820513,Moderate Attractiveness
WS-C3850-48T-S,REF,700.0,1139.96,1687.5,34,18,95,604,0.0013200528021120844,0.351981351981352,0.67533064958962,Moderate Attractiveness
ASR1002X-5G-VPNK9,REF,9000.0,9000.0,9000.0,2,9,99,603,4.000160006400256e-05,0.3513986013986014,0.6756792998992687,Moderate Attractiveness
ASR1002X-36G-HA-K9,REF,13500.0,13500.0,13500.0,2,9,99,603,4.000160006400256e-05,0.3513986013986014,0.6756792998992687,Moderate Attractiveness
ASR1002X-10G-HA-K9,REF,9500.0,9500.0,9500.0,2,8,102,601,4.000160006400256e-05,0.3502331002331002,0.6750965493165181,Moderate Attractiveness
ASR1002X-20G-HA-K9,REF,12250.0,12250.0,12250.0,2,8,93,595,4.000160006400256e-05,0.34673659673659674,0.6733482975682663,Moderate Attractiveness
ASR1002-X,REF,4349.0,4349.0,4349.0,2,8,94,593,4.000160006400256e-05,0.34557109557109555,0.6727655469855158,Moderate Attractiveness
ASR1002X-10G-VPNK9,REF,10500.0,10500.0,10500.0,2,8,98,590,4.000160006400256e-05,0.34382284382284384,0.6718914211113899,Moderate Attractiveness
CP-8841-K9-LN,REF,65.66,65.66,65.66,15,15,136,589,0.000560022400896036,0.34324009324009325,0.6713400354195986,Moderate Attractiveness
ASR1002X-AIS-AX,REF,9500.0,9500.0,9500.0,2,8,93,587,4.000160006400256e-05,0.34207459207459207,0.671017295237264,Moderate Attractiveness
ASR1002X-20G-VPNK9,REF,13000.0,13000.0,13000.0,2,8,95,587,4.000160006400256e-05,0.34207459207459207,0.671017295237264,Moderate Attractiveness
ASR1002X-5G-SHAK9,REF,9500.0,9500.0,9500.0,2,9,94,586,4.000160006400256e-05,0.3414918414918415,0.6707259199458887,Moderate Attractiveness
WS-C2960S-24PS-L-STACK,REF,165.0,165.0,165.0,2,39,180,586,4.000160006400256e-05,0.3414918414918415,0.6707259199458887,Moderate Attractiveness
ASR1002X-5G-HA-K9,REF,9000.0,9000.0,9000.0,2,9,94,585,4.000160006400256e-05,0.3409090909090909,0.6704345446545135,Moderate Attractiveness
ASR1002X-10G-SHAK9,REF,11500.0,11500.0,11500.0,2,9,90,583,4.000160006400256e-05,0.33974358974358976,0.6698517940717629,Moderate Attractiveness
ASR1002X-AES-AX,REF,8500.0,8500.0,8500.0,2,8,93,583,4.000160006400256e-05,0.33974358974358976,0.6698517940717629,Moderate Attractiveness
ASR1002X-36G-SECK9,REF,11500.0,11500.0,11500.0,2,8,96,575,4.000160006400256e-05,0.3350815850815851,0.6675207917407605,Moderate Attractiveness
ASR1002X-20G-SECK9,REF,9500.0,9500.0,9500.0,2,8,94,571,4.000160006400256e-05,0.3327505827505827,0.6663552905752593,Moderate Attractiveness
C1111-8PLTELA,REF,999.0,999.0,999.0,1,25,159,571,0.0,0.3327505827505827,0.6663752913752914,Moderate Attractiveness
AIR-AP3802I-B-K9,REF,325.0,382.83,448.5,8,27,141,568,0.0002800112004480179,0.331002331002331,0.6653611599009415,Moderate Attractiveness
C1000-24P-4G-L,REF,1525.0,1525.0,1525.0,10,29,104,568,0.00036001440057602306,0.331002331002331,0.6653211583008776,Moderate Attractiveness
WS-C3750G-48PS-S,REF,315.0,429.25,672.0,9,25,120,566,0.0003200128005120205,0.3298368298368298,0.6647584085181589,Moderate Attractiveness
N3K-C3064PQ-10GX,REF,1550.0,1650.0,1750.0,6,37,179,562,0.0002000080003200128,0.3275058275058275,0.6636529097527537,Moderate Attractiveness
CP-8851-K9,REF,21.0,77.1,142.71,1642,29,110,556,0.06564262570502821,0.32400932400932403,0.6291833491521479,Moderate Attractiveness
WS-C2960S-48TS-L,REF,65.0,186.93,700.0,32,48,182,551,0.0012400496019840794,0.3210955710955711,0.6599277607467935,Moderate Attractiveness
WS-C3850-48T-S-RF,REF,9243.45,9243.45,9243.45,8,14,89,548,0.0002800112004480179,0.31934731934731936,0.6595336540734357,Moderate Attractiveness
WS-C2960X-48LPD-L-WS,REF,953.0,953.0,953.0,5,11,126,547,0.00016000640025601025,0.31876456876456877,0.6593022811821564,Moderate Attractiveness
C1111-8P,REF,550.0,550.0,550.0,4,24,151,547,0.00012000480019200768,0.31876456876456877,0.6593222819821883,Moderate Attractiveness
AIR-AP3802I-E-K9C,REF,600.0,600.0,600.0,20,13,155,545,0.0007600304012160487,0.3175990675990676,0.6584195185989258,Moderate Attractiveness
ASA5506-K9,REF,325.0,491.0,648.0,6,17,119,543,0.0002000080003200128,0.31643356643356646,0.6581167792166231,Moderate Attractiveness
C9200-48P-A,REF,7224.0,7224.0,7224.0,1,21,140,543,0.0,0.31643356643356646,0.6582167832167832,Moderate Attractiveness
C3850-NM-2-10G,REF,231.0,287.75,357.5,216,21,130,538,0.00860034401376055,0.3135198135198135,0.6524597347530265,Moderate Attractiveness
C2960X-STACK-RF,REF,674.1,674.1,674.1,195,12,113,531,0.007760310412416497,0.3094405594405594,0.6508401245140715,Moderate Attractiveness
C9120AXI-E,REF,750.0,750.0,750.0,35,30,131,525,0.001360054402176087,0.30594405594405594,0.6522920007709399,Moderate Attractiveness
WS-C2960G-24TC-L,REF,50.0,82.28,130.5,24,14,118,517,0.0009200368014720589,0.30128205128205127,0.6501810072402896,Moderate Attractiveness
WS-C3750X-48P-S-2-715PWR-10GSTACK,REF,300.0,300.0,300.0,2,29,166,516,4.000160006400256e-05,0.3006993006993007,0.6503296495496184,Moderate Attractiveness
ASR1002X-36G-VPNK9,REF,13500.0,13500.0,13500.0,2,8,85,514,4.000160006400256e-05,0.29953379953379955,0.6497468989668678,Moderate Attractiveness
ASR1002X-36G-SHAK9,REF,15500.0,15500.0,15500.0,2,8,85,514,4.000160006400256e-05,0.29953379953379955,0.6497468989668678,Moderate Attractiveness
ASR1002X-20G-SHAK9,REF,14500.0,14500.0,14500.0,2,8,85,512,4.000160006400256e-05,0.29836829836829837,0.6491641483841172,Moderate Attractiveness
C9300-24T-A,REF,3600.0,3600.0,3600.0,2,9,74,510,4.000160006400256e-05,0.2972027972027972,0.6485813978013666,Moderate Attractiveness
AIR-AP3802I-E-K9,REF,450.0,450.0,450.0,15,12,135,508,0.000560022400896036,0.29603729603729606,0.6477386368182,Moderate Attractiveness
C1111-4P,REF,600.0,650.0,700.0,3,13,93,508,8.000320012800511e-05,0.29603729603729606,0.647978646418584,Moderate Attractiveness
CP-7821-K9=,REF,58.0,58.0,58.0,10,34,122,506,0.00036001440057602306,0.2948717948717949,0.6472558902356095,Moderate Attractiveness
QSFP-40G-LR4-S,REF,238.0,401.88,500.0,27,23,137,506,0.0010400416016640665,0.2948717948717949,0.6469158766350654,Moderate Attractiveness
SG350-28P-K9,REF,1000.0,1097.5,1195.0,3,14,96,505,8.000320012800511e-05,0.2942890442890443,0.6471045205444581,Moderate Attractiveness
C2960X-STACK-LN,REF,49.49,49.49,49.49,2,12,104,498,4.000160006400256e-05,0.2902097902097902,0.645084894304863,Moderate Attractiveness
C1111-4PWE,REF,700.0,700.0,700.0,1,13,92,497,0.0,0.2896270396270396,0.6448135198135199,Moderate Attractiveness
PWR-C1-350WAC=,REF,129.0,129.5,130.0,4,24,122,491,0.00012000480019200768,0.28613053613053613,0.643005265665172,Moderate Attractiveness
C3850-NM-2-10G-RF,REF,1753.0,1753.0,1753.0,87,19,118,489,0.0034401376055042203,0.28496503496503495,0.6407624486797654,Moderate Attractiveness
WS-C3750G-48PS-S C37,REF,246.21,246.21,246.21,1,23,103,487,0.0,0.2837995337995338,0.6418997668997669,Moderate Attractiveness
ISR4221-K9,REF,315.0,432.5,550.0,2,23,113,481,4.000160006400256e-05,0.2803030303030303,0.6401315143514832,Moderate Attractiveness
WS-C3850-48T-L,REF,600.0,1228.02,3200.0,18,8,83,480,0.0006800272010880436,0.27972027972027974,0.6395201262595959,Moderate Attractiveness
QSFP-40G-SR-BD,REF,125.0,152.7,270.0,436,22,127,480,0.017400696027841115,0.27972027972027974,0.6311597918462193,Moderate Attractiveness
ASR1001-HX,REF,25200.0,25200.0,25200.0,1,13,126,478,0.0,0.27855477855477856,0.6392773892773893,Moderate Attractiveness
WS-C2960S-48LPS-L,REF,125.0,157.8,225.0,45,26,132,478,0.0017600704028161126,0.27855477855477856,0.6383973540759812,Moderate Attractiveness
WS-C2960X-48LPD-L V04 W-EARS,REF,689.0,689.0,689.0,1,11,118,478,0.0,0.27855477855477856,0.6392773892773893,Moderate Attractiveness
WS-C2960X-48LPD-L V07 W-EARS,REF,699.0,699.0,699.0,1,11,118,478,0.0,0.27855477855477856,0.6392773892773893,Moderate Attractiveness
STACK-T1-50CM,REF,30.0,33.33,40.0,12,22,88,478,0.00044001760070402814,0.27855477855477856,0.6390573804770373,Moderate Attractiveness
